date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-03-02,sh.000001,3478.2925,3486.6206,3466.9999,3484.1916,3488.8347,32936768400,380143816188.0000,3,0.840394,1,-0.133085,0
2022-03-03,sh.000001,3495.9280,3500.2872,3473.3376,3481.1125,3484.1916,41259428900,443621777161.5000,3,1.052741,1,-0.088373,0
2022-03-04,sh.000001,3459.9845,3474.8816,3437.6964,3447.6490,3481.1125,39352658100,430669055303.2000,3,1.004068,1,-0.961288,0
2022-03-07,sh.000001,3438.5602,3438.5602,3360.7393,3372.8552,3447.6490,39358899900,458156894790.9000,3,1.004007,1,-2.169415,0
2022-03-08,sh.000001,3372.5546,3383.6326,3287.3412,3293.5301,3372.8552,41592676600,485623581003.9000,3,1.060886,1,-2.351868,0
2022-03-09,sh.000001,3303.7060,3321.4811,3147.6768,3256.3884,3293.5301,46628556900,519833299622.0000,3,1.189232,1,-1.127717,0
2022-03-10,sh.000001,3312.1789,3326.5827,3291.2352,3296.0922,3256.3884,37833637600,466084008360.9000,3,0.964681,1,1.219259,0
2022-03-11,sh.000001,3259.3227,3315.6603,3217.4185,3309.7467,3296.0922,38406712700,458687054696.0000,3,0.979186,1,0.414263,0
2022-03-14,sh.000001,3271.8902,3297.7973,3223.5328,3223.5328,3309.7467,33796868700,418055596108.9000,3,0.861692,1,-2.604849,0
2022-03-15,sh.000001,3192.3637,3196.9161,3063.9652,3063.9652,3223.5328,46503716400,508158410060.0000,3,1.185706,1,-4.950085,0
2022-03-16,sh.000001,3107.6690,3177.7882,3023.3045,3170.7103,3063.9652,44466718900,522305342485.2000,3,1.133724,1,3.483887,0
2022-03-17,sh.000001,3215.0105,3260.1673,3202.9337,3215.0445,3170.7103,42081345800,532549484015.7000,3,1.072890,1,1.398242,0
2022-03-18,sh.000001,3207.1522,3260.7829,3197.3578,3251.0724,3215.0445,37303561100,428415081636.7000,3,0.951029,1,1.120603,0
2022-03-21,sh.000001,3255.6152,3267.4982,3223.3892,3253.6857,3251.0724,35422848800,421076289728.0000,3,0.903153,1,0.080383,0
