date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-02-25,sz.399001,13383.2352,13540.9879,13383.2352,13412.9177,13252.2412,43465089061,577064527234.0500,3,1.339028,1,1.212448,0
2022-02-28,sz.399001,13397.9289,13457.6120,13279.3167,13455.7332,13412.9177,39794025992,535316715270.7500,3,1.219688,1,0.319211,0
2022-03-01,sz.399001,13493.2757,13517.2493,13393.8536,13488.6364,13455.7332,39926109157,556498527352.8900,3,1.226012,1,0.244529,0
2022-03-02,sz.399001,13412.8993,13412.8993,13267.5532,13346.9565,13488.6364,40042991203,517925859617.3400,3,1.150181,1,-1.050365,0
2022-03-03,sz.399001,13397.9697,13407.0350,13187.7402,13201.8199,13346.9565,45112570165,566547160781.5500,3,1.369235,1,-1.087413,0
2022-03-04,sz.399001,13089.4228,13204.2417,12972.2414,13020.4639,13201.8199,44826677556,575567256142.6500,3,1.339513,1,-1.373720,0
2022-03-07,sz.399001,12930.7327,12930.7327,12523.4479,12573.4349,13020.4639,43033849937,566406131168.3400,3,1.419775,1,-3.433280,0
2022-03-08,sz.399001,12594.5950,12653.4583,12178.1777,12244.4971,12573.4349,48566082015,624336264110.4500,3,1.579828,1,-2.616133,0
2022-03-09,sz.399001,12282.1464,12337.7699,11598.3930,12107.1705,12244.4971,52118799520,641926907601.3600,3,1.725467,1,-1.121537,0
2022-03-10,sz.399001,12421.7639,12486.9052,12331.5051,12370.9544,12107.1705,45735173294,612625620244.3900,3,1.406335,1,2.178741,0
2022-03-11,sz.399001,12181.4844,12464.4979,12043.3816,12447.3730,12370.9544,44642913905,591465321348.3900,3,1.382742,1,0.617726,0
2022-03-14,sz.399001,12315.7745,12389.4144,12063.6318,12063.6318,12447.3730,41095792224,551758539250.4100,3,1.254453,1,-3.082909,0
2022-03-15,sz.399001,11948.6335,12086.0356,11537.2355,11537.2355,12063.6318,49113319923,616059879999.6500,3,1.667549,1,-4.363498,0
2022-03-16,sz.399001,11765.3058,12034.4583,11331.2257,12000.9593,11537.2355,51065317741,669733224320.6800,3,1.688923,1,4.019367,0
2022-03-17,sz.399001,12228.8429,12497.8562,12218.1695,12289.9733,12000.9593,53055256130,742943661485.3700,3,1.689691,1,2.408257,0
2022-03-18,sz.399001,12222.2200,12368.5905,12141.7543,12328.6470,12289.9733,45201628249,562050112555.9000,3,1.340174,1,0.314677,0
2022-03-21,sz.399001,12385.8687,12469.9831,12257.6725,12379.6360,12328.6470,47249131825,594069216785.5100,3,1.417646,1,0.413581,0
2022-03-22,sz.399001,12350.7327,12410.4704,12269.1719,12318.7836,12379.6360,46450150819,559997430273.8900,3,1.285053,1,-0.491552,0
2022-03-23,sz.399001,12373.5091,12436.2060,12291.3651,12408.6507,12318.7836,45067751249,537394684003.8600,3,1.225273,1,0.729513,0
2022-03-24,sz.399001,12339.1438,12384.7789,12188.5751,12305.5042,12408.6507,44069282709,529361678176.1200,3,1.219985,1,-0.831247,0
2022-03-25,sz.399001,12315.3498,12330.9486,12072.7276,12072.7276,12305.5042,43718468033,528491846048.5900,3,1.181915,1,-1.891646,0
2022-03-28,sz.399001,11968.9972,12053.2013,11835.3339,11949.9399,12072.7276,42333298775,495913898261.3700,3,1.184032,1,-1.017067,0
2022-03-29,sz.399001,11983.5403,12050.8547,11857.3681,11895.0771,11949.9399,42513225308,500012942521.2500,3,1.164539,1,-0.459105,0
2022-03-30,sz.399001,11969.3639,12263.8021,11961.0646,12263.8021,11895.0771,45096789846,545377037411.6400,3,1.451339,1,3.099812,0
2022-03-31,sz.399001,12208.9924,12220.0621,12090.2881,12118.2543,12263.8021,49890606601,581017358248.3600,3,1.426814,1,-1.186808,0
2022-04-01,sz.399001,12040.0141,12275.0751,12009.2052,12227.9303,12118.2543,47057621321,529916746736.3100,3,1.377251,1,0.905048,0
2022-04-06,sz.399001,12220.7752,12238.0188,12091.9807,12172.9114,12227.9303,48442921704,532502399574.8900,3,1.495288,1,-0.449945,0
2022-04-07,sz.399001,12101.3712,12205.0970,11971.3335,11972.0230,12172.9114,47857870369,524892592191.0000,3,1.455476,1,-1.650290,0
2022-04-08,sz.399001,11988.0480,12001.5910,11799.0204,11959.2715,11972.0230,46248466716,512401292361.8400,3,1.431657,1,-0.106511,0
